seed,roc_auc,average_precision,best_threshold,best_total_cost,false_positives,false_negatives,precision,recall
1,0.9828213586234119,0.8805109783630738,0.06,550.24,40,12,0.7350993377483444,0.9024390243902439
7,0.9874060889766876,0.8378143170042924,0.04,814.36,36,19,0.7428571428571429,0.8455284552845529
13,0.9674712106087845,0.7725302129224998,0.09,1070.76,47,25,0.6758620689655173,0.7967479674796748
23,0.9656002819260876,0.7916770231122898,0.24,871.4000000000001,26,21,0.796875,0.8292682926829268
42,0.972032550064242,0.8320118219008368,0.11,808.12,33,19,0.7591240875912408,0.8455284552845529
