stat,roc_auc,average_precision,best_threshold,best_total_cost,false_positives,false_negatives,precision,recall
mean,0.9750662980398428,0.8229088706605985,0.10800000000000001,822.976,36.4,19.2,0.7419635274324491,0.8439024390243903
std,0.00960346091196578,0.042238833792280966,0.07854934754662192,186.02530494532186,7.829431652425353,4.711687595755899,0.043951885922285924,0.038306403217527644
