cost_model,best_threshold,best_total_cost,cost_at_0.70,cost_reduction_vs_0.70,relative_cost_reduction_vs_0.70,precision_at_best,recall_at_best
fixed_stripe_example,0.04,814.3599999999999,1768.0400000000006,953.6800000000007,0.539399561095903,0.7428571428571429,0.8455284552845529
amount_scaled,0.33,3167.7668,5626.4536,2458.6868,0.43698695035892593,0.8608695652173913,0.8048780487804879
